model,training_size,run_id,seed,auroc,f1,accuracy,precision,recall
svm_rbf,80,7,49,0.7081249999999999,0.684931506849315,0.7125,0.7575757575757576,0.625
svm_rbf,80,8,50,0.7328125000000001,0.6933333333333334,0.7125,0.7428571428571429,0.65
svm_rbf,80,9,51,0.7596875,0.7586206896551724,0.7375,0.7021276595744681,0.825
svm_rbf,80,10,52,0.7474999999999999,0.64,0.6625,0.6857142857142857,0.6
svm_rbf,80,11,53,0.5618750000000001,0.375,0.5,0.5,0.3
svm_rbf,80,12,54,0.7243750000000001,0.6818181818181818,0.65,0.625,0.75
svm_rbf,80,13,55,0.33937500000000004,0.4444444444444444,0.5625,0.6086956521739131,0.35
svm_rbf,80,14,56,0.40062499999999995,0.6923076923076923,0.7,0.7105263157894737,0.675
svm_rbf,80,15,57,0.6328125,0.6197183098591549,0.6625,0.7096774193548387,0.55
svm_rbf,80,16,58,0.705,0.6410256410256411,0.65,0.6578947368421053,0.625
svm_rbf,80,17,59,0.72375,0.675,0.675,0.675,0.675
svm_rbf,80,18,60,0.383125,0.5633802816901409,0.6125,0.6451612903225806,0.5
svm_rbf,80,19,61,0.32875,0.6741573033707865,0.6375,0.6122448979591837,0.75
svm_rbf,120,0,1042,0.7409375,0.647887323943662,0.6875,0.7419354838709677,0.575
svm_rbf,120,1,1043,0.7040624999999999,0.5970149253731343,0.6625,0.7407407407407407,0.5
svm_rbf,120,2,1044,0.6975000000000001,0.5974025974025974,0.6125,0.6216216216216216,0.575
svm_rbf,120,3,1045,0.42187500000000006,0.4507042253521127,0.5125,0.5161290322580645,0.4
svm_rbf,120,4,1046,0.7546874999999998,0.6388888888888888,0.675,0.71875,0.575
svm_rbf,120,5,1047,0.7053125,0.6987951807228916,0.6875,0.6744186046511628,0.725
svm_rbf,120,6,1048,0.756875,0.6388888888888888,0.675,0.71875,0.575
svm_rbf,120,7,1049,0.2971875,0.7341772151898734,0.7375,0.7435897435897436,0.725
