model,training_size,run_id,seed,feature_name,mean_abs_shap
logistic_regression,120,5,1047,mean_clause_length,0.15154942883790823
logistic_regression,120,5,1047,content_density,0.23311246289805215
logistic_regression,120,5,1047,noun_ratio,0.06598541971395323
logistic_regression,120,5,1047,verb_ratio,0.1485093803581383
logistic_regression,120,5,1047,adjective_ratio,0.24734183507723598
logistic_regression,120,5,1047,adverb_ratio,0.2671258795348914
logistic_regression,120,5,1047,pronoun_ratio,0.12024976658911668
logistic_regression,120,5,1047,determiner_ratio,0.10948209442645176
logistic_regression,120,6,1048,word_count,0.07892916368899779
logistic_regression,120,6,1048,sentence_count,0.0009140802798363708
logistic_regression,120,6,1048,type_token_ratio,0.3428958114168003
logistic_regression,120,6,1048,filler_count,0.01315937016786336
logistic_regression,120,6,1048,filler_ratio,0.3012536776174213
logistic_regression,120,6,1048,mean_clause_length,0.052094754160774845
logistic_regression,120,6,1048,content_density,0.1747765301039498
logistic_regression,120,6,1048,noun_ratio,0.023031553947252776
logistic_regression,120,6,1048,verb_ratio,0.23994107278680965
logistic_regression,120,6,1048,adjective_ratio,0.537944030300026
logistic_regression,120,6,1048,adverb_ratio,0.22260956769149026
logistic_regression,120,6,1048,pronoun_ratio,0.14646331795569018
logistic_regression,120,6,1048,determiner_ratio,0.1353993933662379
logistic_regression,120,7,1049,word_count,0.026278202181644374
logistic_regression,120,7,1049,sentence_count,0.10826527491712805
logistic_regression,120,7,1049,type_token_ratio,0.2312172037230959
logistic_regression,120,7,1049,filler_count,0.138564469147252
logistic_regression,120,7,1049,filler_ratio,0.22534402046959
logistic_regression,120,7,1049,mean_clause_length,0.07381867331281816
logistic_regression,120,7,1049,content_density,0.17596764994139186
logistic_regression,120,7,1049,noun_ratio,0.13052673993883818
logistic_regression,120,7,1049,verb_ratio,0.19631202124740685
logistic_regression,120,7,1049,adjective_ratio,0.3675586325147691
logistic_regression,120,7,1049,adverb_ratio,0.19244963680204513
logistic_regression,120,7,1049,pronoun_ratio,0.2410686237875367
logistic_regression,120,7,1049,determiner_ratio,0.38478814136777323
logistic_regression,120,8,1050,word_count,0.04002152628559534
logistic_regression,120,8,1050,sentence_count,0.21529864741653143
logistic_regression,120,8,1050,type_token_ratio,0.6164546647989574
logistic_regression,120,8,1050,filler_count,0.02509916151421912
logistic_regression,120,8,1050,filler_ratio,0.2612986862156722
logistic_regression,120,8,1050,mean_clause_length,0.23137294275085055
logistic_regression,120,8,1050,content_density,0.3108054169393976
logistic_regression,120,8,1050,noun_ratio,0.20071276191987283
logistic_regression,120,8,1050,verb_ratio,0.3803212618359919
logistic_regression,120,8,1050,adjective_ratio,0.4221380315491066
logistic_regression,120,8,1050,adverb_ratio,0.24911660216958414
logistic_regression,120,8,1050,pronoun_ratio,0.360577204556475
logistic_regression,120,8,1050,determiner_ratio,0.48145317407770616
logistic_regression,120,9,1051,word_count,0.06848370712581145
logistic_regression,120,9,1051,sentence_count,0.1476687895105322
logistic_regression,120,9,1051,type_token_ratio,0.20651152471952122
logistic_regression,120,9,1051,filler_count,0.01882618512543032
logistic_regression,120,9,1051,filler_ratio,0.09269560560439578
logistic_regression,120,9,1051,mean_clause_length,0.048219186819575384
logistic_regression,120,9,1051,content_density,0.18395082364627344
logistic_regression,120,9,1051,noun_ratio,0.10212649988592244
logistic_regression,120,9,1051,verb_ratio,0.21209987992412643
logistic_regression,120,9,1051,adjective_ratio,0.19965709946048313
logistic_regression,120,9,1051,adverb_ratio,0.189934702234656
logistic_regression,120,9,1051,pronoun_ratio,0.0021178013889914813
logistic_regression,120,9,1051,determiner_ratio,0.23574047769842918
logistic_regression,120,10,1052,word_count,0.11002737654935939
logistic_regression,120,10,1052,sentence_count,0.22814311481835903
logistic_regression,120,10,1052,type_token_ratio,0.4875828751072809
logistic_regression,120,10,1052,filler_count,0.04832226416292947
logistic_regression,120,10,1052,filler_ratio,0.04179681769611908
logistic_regression,120,10,1052,mean_clause_length,0.03502632674877434
logistic_regression,120,10,1052,content_density,0.3427900271400985
logistic_regression,120,10,1052,noun_ratio,0.05422694507195465
logistic_regression,120,10,1052,verb_ratio,0.32635761364415095
logistic_regression,120,10,1052,adjective_ratio,0.34542450442873385
logistic_regression,120,10,1052,adverb_ratio,0.1741406606961547
logistic_regression,120,10,1052,pronoun_ratio,0.0028189570466998935
logistic_regression,120,10,1052,determiner_ratio,0.3697783662763979
logistic_regression,120,11,1053,word_count,0.026891320778328454
logistic_regression,120,11,1053,sentence_count,0.15056050510599223
logistic_regression,120,11,1053,type_token_ratio,0.25688953783161017
logistic_regression,120,11,1053,filler_count,0.16126007919114466
logistic_regression,120,11,1053,filler_ratio,0.17021929008346975
logistic_regression,120,11,1053,mean_clause_length,0.1277550382799632
logistic_regression,120,11,1053,content_density,0.0019791221785404245
logistic_regression,120,11,1053,noun_ratio,0.2471386987548921
logistic_regression,120,11,1053,verb_ratio,0.07342345786653078
logistic_regression,120,11,1053,adjective_ratio,0.6428059043613416
logistic_regression,120,11,1053,adverb_ratio,0.089309479056108
logistic_regression,120,11,1053,pronoun_ratio,0.1358606756084852
logistic_regression,120,11,1053,determiner_ratio,0.4342627308146527
logistic_regression,120,12,1054,word_count,0.41659453483075753
logistic_regression,120,12,1054,sentence_count,0.7234571740085639
logistic_regression,120,12,1054,type_token_ratio,0.004919446878677204
logistic_regression,120,12,1054,filler_count,0.09824609344282399
logistic_regression,120,12,1054,filler_ratio,0.15143028828310032
logistic_regression,120,12,1054,mean_clause_length,0.0059051473934001505
logistic_regression,120,12,1054,content_density,0.1706349969420628
logistic_regression,120,12,1054,noun_ratio,0.09245608833735984
logistic_regression,120,12,1054,verb_ratio,0.23209960985159891
logistic_regression,120,12,1054,adjective_ratio,0.3095829450851135
logistic_regression,120,12,1054,adverb_ratio,0.03048082025757768
logistic_regression,120,12,1054,pronoun_ratio,0.08207249690432644
logistic_regression,120,12,1054,determiner_ratio,0.21020312007912684
logistic_regression,120,13,1055,word_count,0.45865425466012255
logistic_regression,120,13,1055,sentence_count,0.07529882323376064
logistic_regression,120,13,1055,type_token_ratio,0.5863832636403506
logistic_regression,120,13,1055,filler_count,0.1074968320330012
logistic_regression,120,13,1055,filler_ratio,0.40164772964242956
logistic_regression,120,13,1055,mean_clause_length,0.21888462551489685
logistic_regression,120,13,1055,content_density,0.35198780872366814
logistic_regression,120,13,1055,noun_ratio,0.07051780575830786
logistic_regression,120,13,1055,verb_ratio,0.12859084233280402
logistic_regression,120,13,1055,adjective_ratio,0.23652839089044794
logistic_regression,120,13,1055,adverb_ratio,0.11545388227662223
logistic_regression,120,13,1055,pronoun_ratio,0.012484953523376556
logistic_regression,120,13,1055,determiner_ratio,0.1943422647571838
logistic_regression,120,14,1056,word_count,0.1449291322003426
logistic_regression,120,14,1056,sentence_count,0.04099025977839531
logistic_regression,120,14,1056,type_token_ratio,0.40857635092065686
logistic_regression,120,14,1056,filler_count,0.18334452110402308
logistic_regression,120,14,1056,filler_ratio,0.2305888476057405
logistic_regression,120,14,1056,mean_clause_length,0.15693359768137222
logistic_regression,120,14,1056,content_density,0.03937281812006639
logistic_regression,120,14,1056,noun_ratio,0.13611671046583756
logistic_regression,120,14,1056,verb_ratio,0.022660813720973016
logistic_regression,120,14,1056,adjective_ratio,0.30907274373690097
logistic_regression,120,14,1056,adverb_ratio,0.2063343493173367
logistic_regression,120,14,1056,pronoun_ratio,0.24160027922141447
logistic_regression,120,14,1056,determiner_ratio,0.06224894412084274
logistic_regression,120,15,1057,word_count,0.3741617305121035
logistic_regression,120,15,1057,sentence_count,0.15811332672564177
logistic_regression,120,15,1057,type_token_ratio,0.5975467173885012
logistic_regression,120,15,1057,filler_count,0.07434800465996741
logistic_regression,120,15,1057,filler_ratio,0.4005191726004365
logistic_regression,120,15,1057,mean_clause_length,0.20408297756479463
logistic_regression,120,15,1057,content_density,0.11465535342904105
logistic_regression,120,15,1057,noun_ratio,0.12843779012964202
logistic_regression,120,15,1057,verb_ratio,0.029806930951564982
logistic_regression,120,15,1057,adjective_ratio,0.1041883074788585
logistic_regression,120,15,1057,adverb_ratio,0.2613424565500863
logistic_regression,120,15,1057,pronoun_ratio,0.2764110915093461
logistic_regression,120,15,1057,determiner_ratio,0.23367863300673458
logistic_regression,120,16,1058,word_count,0.16766878102589472
logistic_regression,120,16,1058,sentence_count,0.3209492624527515
logistic_regression,120,16,1058,type_token_ratio,0.4136391604405002
logistic_regression,120,16,1058,filler_count,0.42712249331805624
